descriptor,algorithm,dataset,rmse_mine,rmse_off,cliff_mine,cliff_off,n_train,n_test,n_cliff
MACCS,GBM,CHEMBL1862_Ki,0.8806,0.8602,0.8279,0.7781,633,161,67
MACCS,KNN,CHEMBL1862_Ki,1.0494,1.0494,0.8676,0.8676,633,161,67
MACCS,SVM,CHEMBL1871_Ki,0.6702,0.6702,0.8906,0.8905,525,134,32
MACCS,RF,CHEMBL1871_Ki,0.701,0.7025,0.9016,0.9044,525,134,32
MACCS,GBM,CHEMBL1871_Ki,0.7116,0.6859,0.9362,0.9039,525,134,32
MACCS,KNN,CHEMBL1871_Ki,0.7051,0.7051,0.9412,0.9412,525,134,32
MACCS,SVM,CHEMBL2034_Ki,0.6808,0.6808,0.8602,0.8602,598,152,52
MACCS,RF,CHEMBL2034_Ki,0.6991,0.7002,0.8324,0.8283,598,152,52
MACCS,GBM,CHEMBL2034_Ki,0.6997,0.7234,0.8358,0.8565,598,152,52
MACCS,KNN,CHEMBL2034_Ki,0.7682,0.7682,0.9102,0.9102,598,152,52
MACCS,SVM,CHEMBL2047_EC50,0.6946,0.6947,0.7363,0.7363,503,128,50
MACCS,RF,CHEMBL2047_EC50,0.6751,0.6765,0.7039,0.7071,503,128,50
MACCS,GBM,CHEMBL2047_EC50,0.6949,0.6703,0.7501,0.7019,503,128,50
MACCS,KNN,CHEMBL2047_EC50,0.7057,0.7057,0.6895,0.6895,503,128,50
MACCS,SVM,CHEMBL204_Ki,0.8059,0.8059,0.9832,0.9832,2201,553,220
MACCS,RF,CHEMBL204_Ki,0.8154,0.8149,0.9739,0.9706,2201,553,220
MACCS,GBM,CHEMBL204_Ki,0.8009,0.7998,0.9604,0.9579,2201,553,220
MACCS,KNN,CHEMBL204_Ki,0.8919,0.891,1.044,1.0433,2201,553,220
MACCS,SVM,CHEMBL2147_Ki,0.7937,0.7937,0.8061,0.8061,1162,294,116
MACCS,RF,CHEMBL2147_Ki,0.8086,0.806,0.795,0.7925,1162,294,116
MACCS,GBM,CHEMBL2147_Ki,0.7845,0.7915,0.7874,0.7775,1162,294,116
MACCS,KNN,CHEMBL2147_Ki,0.9438,0.9438,0.8668,0.8668,1162,294,116
MACCS,SVM,CHEMBL214_Ki,0.7463,0.7463,0.8888,0.8888,2651,666,245
MACCS,RF,CHEMBL214_Ki,0.7455,0.7467,0.8874,0.8872,2651,666,245
MACCS,GBM,CHEMBL214_Ki,0.7414,0.7295,0.8663,0.8565,2651,666,245
MACCS,KNN,CHEMBL214_Ki,0.8011,0.7988,0.9037,0.9017,2651,666,245
MACCS,SVM,CHEMBL218_EC50,0.703,0.703,0.7289,0.7289,823,208,76
MACCS,RF,CHEMBL218_EC50,0.6736,0.6688,0.7228,0.7124,823,208,76
MACCS,GBM,CHEMBL218_EC50,0.6833,0.7152,0.7466,0.7655,823,208,76
MACCS,KNN,CHEMBL218_EC50,0.7071,0.7071,0.756,0.756,823,208,76
MACCS,SVM,CHEMBL219_Ki,0.8204,0.8204,0.8839,0.8839,1491,374,148
MACCS,RF,CHEMBL219_Ki,0.8088,0.807,0.8286,0.8375,1491,374,148
MACCS,GBM,CHEMBL219_Ki,0.8126,0.8159,0.8687,0.8619,1491,374,148
MACCS,KNN,CHEMBL219_Ki,0.8726,0.8726,0.8878,0.8878,1491,374,148
MACCS,SVM,CHEMBL228_Ki,0.745,0.745,0.7924,0.7924,1362,342,127
MACCS,RF,CHEMBL228_Ki,0.7686,0.769,0.8084,0.8097,1362,342,127
MACCS,GBM,CHEMBL228_Ki,0.7541,0.7701,0.794,0.8074,1362,342,127
MACCS,KNN,CHEMBL228_Ki,0.7785,0.7785,0.8362,0.8362,1362,342,127
MACCS,SVM,CHEMBL231_Ki,0.7829,0.7829,0.8372,0.8372,776,197,48
MACCS,RF,CHEMBL231_Ki,0.7323,0.7386,0.807,0.828,776,197,48
MACCS,GBM,CHEMBL231_Ki,0.7396,0.7543,0.739,0.759,776,197,48
MACCS,KNN,CHEMBL231_Ki,0.8366,0.8366,0.9586,0.9586,776,197,48
MACCS,SVM,CHEMBL233_Ki,0.8685,0.8685,0.9534,0.9534,2512,630,259
MACCS,RF,CHEMBL233_Ki,0.8291,0.8284,0.9073,0.906,2512,630,259
MACCS,GBM,CHEMBL233_Ki,0.8432,0.8463,0.9263,0.9134,2512,630,259
MACCS,KNN,CHEMBL233_Ki,0.853,0.8523,0.9101,0.9106,2512,630,259
MACCS,SVM,CHEMBL234_Ki,0.7392,0.7392,0.7293,0.7293,2924,733,320
MACCS,RF,CHEMBL234_Ki,0.745,0.7443,0.749,0.7498,2924,733,320
MACCS,GBM,CHEMBL234_Ki,0.7234,0.7189,0.7071,0.7241,2924,733,320
MACCS,KNN,CHEMBL234_Ki,0.7865,0.7817,0.7612,0.758,2924,733,320
MACCS,SVM,CHEMBL235_EC50,0.6961,0.6961,0.8382,0.8382,1877,472,178
MACCS,RF,CHEMBL235_EC50,0.7047,0.7052,0.8276,0.8232,1877,472,178
MACCS,GBM,CHEMBL235_EC50,0.7209,0.7131,0.8666,0.8604,1877,472,178
MACCS,KNN,CHEMBL235_EC50,0.7503,0.7503,0.8682,0.8682,1877,472,178
MACCS,SVM,CHEMBL236_Ki,0.8498,0.8498,0.9377,0.9377,2077,521,204
MACCS,RF,CHEMBL236_Ki,0.8212,0.8281,0.9521,0.9565,2077,521,204
MACCS,GBM,CHEMBL236_Ki,0.846,0.8392,0.9416,0.9308,2077,521,204
MACCS,KNN,CHEMBL236_Ki,0.8957,0.8963,1.0475,1.0465,2077,521,204
MACCS,SVM,CHEMBL237_EC50,0.8316,0.8316,0.8853,0.8853,762,193,91
MACCS,RF,CHEMBL237_EC50,0.8498,0.8488,0.906,0.9113,762,193,91
MACCS,GBM,CHEMBL237_EC50,0.8511,0.8312,0.8909,0.9041,762,193,91
MACCS,KNN,CHEMBL237_EC50,0.9619,0.9619,0.9503,0.9503,762,193,91
MACCS,SVM,CHEMBL237_Ki,0.7791,0.7791,0.8726,0.8726,2081,522,223
MACCS,RF,CHEMBL237_Ki,0.8139,0.814,0.9237,0.9274,2081,522,223
MACCS,GBM,CHEMBL237_Ki,0.7787,0.7994,0.8735,0.8857,2081,522,223
MACCS,KNN,CHEMBL237_Ki,0.822,0.8249,0.9403,0.9426,2081,522,223
MACCS,SVM,CHEMBL238_Ki,0.6687,0.6687,0.6821,0.6821,839,213,55
MACCS,RF,CHEMBL238_Ki,0.7014,0.7024,0.7125,0.7082,839,213,55
MACCS,GBM,CHEMBL238_Ki,0.6656,0.6783,0.6775,0.6999,839,213,55
MACCS,KNN,CHEMBL238_Ki,0.7077,0.7077,0.7353,0.7353,839,213,55
