algorithm,dataset,rmse_mine,rmse_off,d_rmse,cliff_mine,cliff_off,d_cliff,n_train,n_test,n_cliff
GBM,CHEMBL237_Ki,0.710605,0.712686,-0.002081,0.781895,0.788702,-0.006807,2081,522,223
GBM,CHEMBL238_Ki,0.634835,0.617971,0.016864,0.669907,0.637690,0.032217,839,213,55
GBM,CHEMBL239_EC50,0.659220,0.682487,-0.023267,0.788014,0.820510,-0.032495,1374,347,141
GBM,CHEMBL244_Ki,0.730162,0.736059,-0.005897,0.814240,0.820760,-0.006520,2476,621,296
GBM,CHEMBL262_Ki,0.746534,0.749789,-0.003255,0.738676,0.727364,0.011313,683,173,32
GBM,CHEMBL264_Ki,0.642932,0.648577,-0.005645,0.717163,0.721532,-0.004369,2288,574,239
GBM,CHEMBL2835_Ki,0.436098,0.405261,0.030837,0.841257,0.789313,0.051944,489,126,13
GBM,CHEMBL287_Ki,0.743008,0.759058,-0.016050,0.839018,0.847322,-0.008304,1061,267,103
GBM,CHEMBL2971_Ki,0.601172,0.615671,-0.014499,0.649264,0.666709,-0.017445,779,197,34
GBM,CHEMBL3979_EC50,0.640449,0.659541,-0.019093,0.692571,0.721678,-0.029107,899,226,94
GBM,CHEMBL4005_Ki,0.652882,0.646806,0.006076,0.742249,0.748237,-0.005987,767,193,81
GBM,CHEMBL4203_Ki,0.912910,0.919368,-0.006458,1.042492,1.075322,-0.032830,582,149,13
GBM,CHEMBL4616_EC50,0.693620,0.685655,0.007965,0.765635,0.767514,-0.001879,543,139,73
GBM,CHEMBL4792_Ki,0.664448,0.673728,-0.009280,0.705905,0.686531,0.019374,1174,297,160
KNN,CHEMBL1862_Ki,0.898282,0.898282,0.000000,0.821817,0.821817,-0.000000,633,161,67
KNN,CHEMBL1871_Ki,0.649790,0.649790,0.000000,0.817006,0.817006,0.000000,525,134,32
KNN,CHEMBL2034_Ki,0.696462,0.696462,0.000000,0.913289,0.913289,-0.000000,598,152,52
KNN,CHEMBL2047_EC50,0.641777,0.641777,0.000000,0.735350,0.735350,0.000000,503,128,50
KNN,CHEMBL204_Ki,0.821719,0.820656,0.001063,0.998046,0.995372,0.002674,2201,553,220
KNN,CHEMBL2147_Ki,0.661750,0.661750,0.000000,0.682120,0.682120,-0.000000,1162,294,116
KNN,CHEMBL214_Ki,0.734537,0.733486,0.001051,0.873350,0.874225,-0.000874,2651,666,245
KNN,CHEMBL218_EC50,0.735475,0.735475,0.000000,0.784823,0.784823,0.000000,823,208,76
KNN,CHEMBL219_Ki,0.775438,0.775438,0.000000,0.815941,0.815941,-0.000000,1491,374,148
KNN,CHEMBL228_Ki,0.717345,0.717345,0.000000,0.811194,0.811194,0.000000,1362,342,127
KNN,CHEMBL231_Ki,0.776341,0.776341,-0.000000,1.020175,1.020175,-0.000000,776,197,48
KNN,CHEMBL233_Ki,0.815133,0.815994,-0.000861,0.912530,0.912267,0.000263,2512,630,259
KNN,CHEMBL234_Ki,0.674169,0.675188,-0.001019,0.699833,0.698892,0.000941,2924,733,320
KNN,CHEMBL235_EC50,0.688057,0.688057,0.000000,0.794607,0.794607,0.000000,1877,472,178
KNN,CHEMBL236_Ki,0.743968,0.745820,-0.001851,0.863704,0.864978,-0.001274,2077,521,204
KNN,CHEMBL237_EC50,0.809982,0.809982,-0.000000,0.875797,0.875797,0.000000,762,193,91
KNN,CHEMBL237_Ki,0.739623,0.736167,0.003456,0.852516,0.850744,0.001772,2081,522,223
KNN,CHEMBL238_Ki,0.646626,0.646626,-0.000000,0.734621,0.734621,-0.000000,839,213,55
KNN,CHEMBL239_EC50,0.713570,0.713570,-0.000000,0.864634,0.864634,-0.000000,1374,347,141
KNN,CHEMBL244_Ki,0.770784,0.767416,0.003368,0.879701,0.873521,0.006181,2476,621,296
KNN,CHEMBL262_Ki,0.833665,0.833665,0.000000,0.899430,0.899430,0.000000,683,173,32
KNN,CHEMBL264_Ki,0.676682,0.673859,0.002823,0.810276,0.805341,0.004935,2288,574,239
KNN,CHEMBL2835_Ki,0.436246,0.436246,0.000000,0.858372,0.858372,-0.000000,489,126,13
KNN,CHEMBL287_Ki,0.810041,0.810041,0.000000,0.956909,0.956909,0.000000,1061,267,103
KNN,CHEMBL2971_Ki,0.663446,0.663446,-0.000000,0.782387,0.782387,-0.000000,779,197,34
KNN,CHEMBL3979_EC50,0.683595,0.683595,-0.000000,0.738859,0.738859,0.000000,899,226,94
KNN,CHEMBL4005_Ki,0.655652,0.655652,-0.000000,0.753996,0.753996,0.000000,767,193,81
KNN,CHEMBL4203_Ki,0.971839,0.971839,-0.000000,1.074000,1.074000,-0.000000,582,149,13
KNN,CHEMBL4616_EC50,0.739777,0.739777,0.000000,0.828211,0.828211,-0.000000,543,139,73
KNN,CHEMBL4792_Ki,0.695495,0.695495,-0.000000,0.724431,0.724431,0.000000,1174,297,160
